id,IdEstacion,Estacion,lon,lat,tipo,dailyreg,X,Y
179815667,10,S Marcos Lempa,-88.6969,13.4235,HID,TRUE,532825,256023
185928421,103,Cojutepeque,-88.92627,13.720633,HID,TRUE,507975,288874
202322594,104,Atalaya,-89.83039,13.608167,HID,TRUE,410141,276586
232400357,105,Las Vueltas,-88.88067,14.090633,HID,TRUE,512887,329809
238675389,106,El Piro,-89.24357,13.681517,HID,TRUE,473651,284559
252687800,107,Stgo de Maria,-88.47153,13.479639,HID,TRUE,557219,262275
252689517,108,Sensunapan,-89.76386,13.660167,HID,TRUE,417359,282315
179815659,11,Las Flores,-88.809,14.0434,HID,TRUE,520630,324588
254623037,111,Izalco,-89.70297,13.756861,HID,TRUE,423978,292992
261981561,112,Nueva Esparta,-87.83544,13.787028,HID,TRUE,625924,296523
261981689,113,San Julian,-89.57281,13.694953,HID,TRUE,438038,286106
261981737,114,Zaragoza,-89.28947,13.576328,HID,TRUE,468671,272928
264555301,115,Sesori,-88.36704,13.723753,HID,TRUE,568461,289308
335055293,116,El Imposible,-89.947,13.827,HID,TRUE,397617,300733
335115674,117,Pte Cuscatlan,-88.603,13.599,HID,TRUE,542959,275343
335515885,118,La Palma,-89.159,14.278,HID,TRUE,482841,350435
336284005,119,Can La Frontera,-89.656,14.119,HID,TRUE,429166,332934
179815670,12,Tamarindo,-89.2525,14.0469,HID,TRUE,472727,324982
339936824,120,Hda Melara,-89.221085,13.479934,HID,TRUE,476063,262256
341344600,121,Jucuaran,-88.2907,13.1956,HID,TRUE,576894,230905
341389137,122,Tepetitan,-88.842766,13.625633,HID,TRUE,517013,278369
341391561,123,Concep Quezalte,-88.96793,14.08085,HID,TRUE,503463,328723
341394208,124,Berlin Met,-88.50643,13.507167,HID,TRUE,553433,265313
348836970,125,SFranciscoHidro,-88.108,13.695,HID,TRUE,596490,286216
357239663,126,Talnique,-89.431,13.751,HID,TRUE,453389,292274
363463033,127,Ciudad Barrios,-88.273,13.725,HID,TRUE,578632,289475
363471576,128,El Camalote,-88.92347,14.167522,HID,TRUE,508262,338313
372091551,129,El Jocote,-89.27623,13.912911,HID,TRUE,470147,310161
179815653,13,Citala,-89.212006,14.370173,HID,TRUE,477132,360742
372093346,130,Las Pavas,-89.30584,14.037723,HID,TRUE,466964,323973
